RGI_Reg,A,V,V_err,SLE,SLE_err
01,86677,18.98,4.92,43.3,11.2
02,14629,1.06,0.27,2.6,0.7
03,104920,28.33,7.35,64.8,16.8
04,40860,8.61,2.23,20.5,5.3
05,89651,15.69,4.07,33.6,8.7
06,11052,3.77,0.98,9.1,2.4
07,33932,7.47,1.94,17.3,4.5
08,2947,0.3,0.08,0.7,0.2
09,51551,14.64,3.8,32,8.3
10,2399,0.14,0.04,0.3,0.1
11,2091,0.13,0.03,0.3,0.1
12,1305,0.06,0.02,0.2,0
13,49295,3.27,0.85,7.9,2
14,33561,2.87,0.74,6.9,1.8
15,14734,0.88,0.23,2.1,0.5
16,2341,0.1,0.03,0.2,0.1
17,29368,5.34,1.39,12.8,3.3
18,1161,0.07,0.02,0.2,0
19,132771,46.47,12.06,69.4,18
Total,705253,158.17,41.03,324.3,84.1
