RGI_Reg,A,V,V_err,SLE,SLE_err,V*,SLE*
1,89051,27868,,69.3,,18595,46.2
2,14505,1275,,3.2,,1275,3.2
3,105002,55545,,138.1,,34716,86.3
4,40885,9356,,23.3,,6994,17.4
5,87810,17130,,42.6,,13588,33.8
6,11058,2655,,6.6,,2655,6.6
7,33837,9089,,22.6,,6799,16.9
8,2852,201,,0.5,,202,0.5
9,51784,17778,,44.2,,12240,30.4
10,2820,274,,0.7,,274,0.7
11,2061,139,,0.3,,139,0.3
12,1100,68,,0.2,,68,0.2
13,67970,6480,,16.1,,6072,15.1
14,33859,4475,,11.1,,3792,9.4
15,21775,1852,,4.6,,1803,4.5
16,4040,231,,0.6,,231,0.6
17,32547,6842,,17,,5118,12.7
18,1165,79,,0.2,,79,0.2
19,132867,48636,,120.9,,48636,120.9
Total,736989,209973,,522,,163277,405.9
