,RGI area (km²),M22 area uncorrected (km²),M22 coverage (%),M22 volume uncorrected (km³),M22 volume as reported (km³),F19 volume (km³),F19 volume as reported (km³),M22-F19 volume difference uncorrected (%),M22 volume on subset (km³),F19 volume on subset (km³),Subset volume coverage (%),M22-F19 volume difference on subset (%),VAS parameter c,VAS parameter gamma,M22 volume corrected method 1 (km³),M22 volume corrected method 2 (km³),M22-F19 volume difference method 1 (%),M22-F19 volume difference method 2 (%)
01-02,101249.3,101399.5,100.15,19151.0,19200.0,20025.2,20040.0,-4.37,18386.6,19322.8,0.96,-4.84,0.05,1.37,19265.3,19055.1,-3.79,-4.84
03,105110.6,104315.5,99.24,25302.5,25400.0,28331.2,28330.0,-10.69,25283.1,28224.8,1.0,-10.42,0.06,1.28,25423.0,25378.4,-10.27,-10.42
04,40888.2,38130.0,93.25,7006.8,7000.0,8611.3,8610.0,-18.63,5767.0,7058.3,0.82,-18.29,0.05,1.22,7028.0,7036.0,-18.39,-18.29
05,89717.1,84478.8,94.16,11764.6,11800.0,15692.0,15690.0,-25.03,6991.3,8736.2,0.59,-19.97,0.04,1.26,12529.8,12557.8,-20.15,-19.97
06,11059.7,11017.6,99.62,3726.3,3700.0,3769.6,3770.0,-1.15,3711.1,3753.4,1.0,-1.13,0.05,1.35,3727.7,3727.0,-1.11,-1.13
07,33958.9,33822.1,99.6,6994.9,7000.0,7470.4,7470.0,-6.36,6293.9,6864.5,0.9,-8.31,0.03,1.34,6876.8,6849.4,-7.95,-8.31
08,2949.1,2694.2,91.36,289.0,290.0,298.5,300.0,-3.2,260.9,255.4,0.9,2.16,0.07,1.26,330.5,305.0,10.72,2.16
09,51591.6,49695.6,96.33,15501.2,15500.0,14640.2,14640.0,5.88,14446.3,13620.6,0.93,6.06,0.08,1.25,15604.3,15527.7,6.59,6.06
10,2410.1,1792.4,74.37,108.8,90.0,135.8,140.0,-19.88,108.0,108.9,0.99,-0.89,0.04,1.34,136.3,134.6,0.4,-0.89
11,2092.1,2078.8,99.36,116.2,120.0,127.9,130.0,-9.17,115.8,127.0,1.0,-8.8,0.03,1.33,116.5,116.7,-8.93,-8.8
12,1307.0,1107.8,84.76,54.8,60.0,63.1,60.0,-13.1,12.5,11.8,0.23,5.93,0.04,1.23,68.4,66.8,8.4,5.93
13-15,97605.9,95957.5,98.31,9377.3,9600.0,7013.3,7020.0,33.71,8570.9,6345.1,0.91,35.08,0.05,1.33,9485.7,9473.5,35.25,35.08
16,2341.0,2039.8,87.13,72.2,70.0,98.4,100.0,-26.64,56.4,66.1,0.78,-14.65,0.03,1.24,84.0,84.0,-14.59,-14.65
17,29429.1,29322.9,99.64,5881.6,5900.0,5339.8,5340.0,10.15,5578.8,4937.4,0.95,12.99,0.05,1.23,6032.6,6033.5,12.97,12.99
18,1161.8,1154.5,99.37,71.2,70.0,73.7,70.0,-3.38,70.8,72.7,0.99,-2.55,0.03,1.37,71.4,71.8,-3.05,-2.55
19,132867.2,132867.2,100.0,35100.0,35100.0,46466.1,46470.0,-24.46,,,,,,,35100.0,35100.0,-24.46,-24.46
Total,705738.8,691874.3,98.04,140518.2,140900.0,158156.6,158180.0,-11.15,,,,-10.52,,,141880.4,141517.1,-10.29,-10.52
